Country Name,Series,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arab World,"School age population, primary education, female (number)",10680529,10954535,11224400,11509396,11800305,12087018,12358361,12678759,13013436,13349420,13654805,13960060,14277763,14622869,14989098,15368451,15748253,16161546,16598832,17050211,16872071,17587986,17993613,18383457,18740030,19046934,19288627,19496356,19693104,19802070,19952607,20109740,20255209,19946474,20069560,20990976,21072596,21165142,21275898,21118730,21315519,21550878,21794409,22107543,22902502,23318899,23779147,24293144,24821889,25467020,NA,NA,NA,NA
Arab World,"School age population, primary education, male (number)",11127712,11418787,11699584,11994512,12295925,12596233,12886190,13215473,13565557,13918790,14236873,14548155,14872622,15225986,15602108,15994334,16391073,16809993,17259334,17728727,17537227,18289649,18732712,19161119,19549376,19871583,20106957,20321640,20526429,20642569,20810044,20997115,21121577,20791432,20927122,21907773,21997184,22090323,22210048,22051557,22258690,22502775,22761091,23093910,23931989,24375091,24868174,25410907,25983490,26676980,NA,NA,NA,NA
Arab World,"School age population, lower secondary education, both sexes (number)",9951704,9866619,10456322,10728640,11030861,11363267,11715641,12031126,12333117,12682406,13062305,13445848,13760362,14064856,14373727,14699633,15047304,15376815,15750557,15598796,16169352,16035487,16469153,16934703,17422976,17922148,18418249,18831903,19221162,19518452,19849685,20088775,20311338,21385143,21541795,21781589,21988399,22889049,23058349,23027082,23101154,23174020,23170435,23149990,22306421,22419317,22605517,22881728,23318803,23812548,NA,NA,NA,NA
Arab World,"School age population, lower secondary education, female (number)",4871178,4828161,5116014,5248559,5395557,5557041,5727960,5885625,6034755,6205215,6389585,6575467,6730262,6881928,7035734,7196120,7365055,7527231,7713039,7640738,7917856,7852213,8064792,8289960,8525211,8766372,9008313,9216051,9414000,9565273,9726215,9833407,9944592,10469989,10543944,10655751,10747875,11190386,11280507,11269445,11304949,11336762,11329792,11321635,10912197,10965860,11050924,11187805,11405551,11643750,NA,NA,NA,NA
Arab World,"School age population, lower secondary education, male (number)",5080526,5038458,5340308,5480081,5635304,5806226,5987681,6145501,6298362,6477191,6672720,6870381,7030100,7182928,7337993,7503513,7682249,7849584,8037518,7958058,8251496,8183274,8404361,8644743,8897765,9155776,9409936,9615852,9807162,9953179,10123470,10255368,10366746,10915154,10997851,11125838,11240524,11698663,11777842,11757637,11796205,11837258,11840643,11828355,11394224,11453457,11554593,11693923,11913252,12168798,NA,NA,NA,NA
Arab World,"School age population, upper secondary education, both sexes (number)",8771227,9146330,9323170,9531170,9754130,10007594,10292873,10394263,10685214,10997707,11333630,11940205,12258612,12575526,12890136,13197877,13494281,13768022,14038082,14368977,14779318,15149975,15513410,15915514,16345021,16798687,17273489,17759880,18299909,18688127,19089039,19472660,19897353,20284544,20612945,20841879,21109021,21368647,21557690,21681553,21779353,21860924,21952359,22015850,22047641,22066930,22106028,22228190,22426999,22598160,NA,NA,NA,NA
Arab World,"School age population, upper secondary education, female (number)",4294983,4479496,4563745,4663702,4771874,4895035,5033190,5082540,5227949,5384908,5553110,5851666,6008691,6165420,6321795,6474465,6620527,6746560,6875727,7039200,7240819,7423764,7605984,7802379,8010216,8230288,8462536,8700146,8969393,9168757,9373789,9563768,9767639,9953516,10112477,10224701,10354800,10464380,10550677,10617116,10678656,10729006,10758446,10778749,10791682,10803243,10824168,10873419,10966013,11053859,NA,NA,NA,NA
Arab World,"School age population, upper secondary education, male (number)",4476244,4666834,4759425,4867468,4982256,5112559,5259683,5311723,5457265,5612799,5780520,6088539,6249921,6410106,6568341,6723412,6873754,7021462,7162355,7329777,7538499,7726211,7907426,8113135,8334805,8568399,8810953,9059734,9330516,9519370,9715250,9908892,10129714,10331028,10500468,10617178,10754221,10904267,11007013,11064437,11100697,11131918,11193913,11237101,11255959,11263687,11281860,11354771,11460986,11544301,NA,NA,NA,NA
Arab World,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,"Unemployment, total (% of total labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66223386,12.9218521,13.40551934,13.68105214,14.25614793,13.70572339,13.24790292,13.19671928,12.3271838,12.60221023,12.86802576,12.93963468,13.11944589,12.16670568,11.80338605,11.01123764,10.53325383,10.14122554,9.773683722,10.35360593,10.37160061,10.59363501,10.48269566,10.4488969,10.42737455,10.27383543,NA,NA,NA,NA,NA,NA,NA
Arab World,"Unemployment, female (% of female labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.41196315,20.57460048,21.85778615,22.19270769,22.77363888,21.78921722,21.15806755,21.73951448,19.54850466,20.1465831,21.28359224,21.53967749,22.32714428,21.07089361,20.55326999,19.25401046,17.97651677,17.93334195,18.28848249,19.72808244,18.88986072,19.38844984,18.95488075,18.83378681,18.90396493,18.34792568,NA,NA,NA,NA,NA,NA,NA
Arab World,"Unemployment, male (% of male labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7777875,11.0577249,11.33254618,11.56204672,12.13693263,11.69739781,11.29651552,11.09291081,10.5062688,10.68459526,10.71743922,10.7853468,10.78198233,9.890367581,9.561803695,8.890624144,8.578267993,8.101033364,7.570627053,7.941523234,8.194703218,8.327486249,8.285199353,8.28828928,8.233880209,8.187952912,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,GDP per capita (current US$),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"Out-of-school children of primary school age, both sexes (number)",56473,57127,53082,51794,45699,65763,77952,59273,58495,58694,70485,64660,52656,48586,50566,51219,51983,37647,41458,30911,47312,63882,66314,71198,69246,66082,64990,64000,56769,55173,49166,54299,65113,67169,52833,55753,54403,55282,51721,56862,53525,49852,51087,54402,55271,51935,55824,60576,64658,67504,NA,NA,NA,NA
Caribbean small states,"Out-of-school children of primary school age, female (number)",26043,26273,24956,23953,21964,30035,35907,26807,25451,25536,31036,28684,24141,21002,21784,22514,22898,18779,19479,14086,22151,32382,34033,37278,36081,34393,33488,32340,28007,27717,24384,26937,30769,32122,25372,26487,25424,25515,23438,25968,23561,21159,21280,22643,22164,20387,26810,29616,31161,32932,NA,NA,NA,NA
Caribbean small states,"Out-of-school children of primary school age, male (number)",30430,30855,28126,27841,23734,35728,42044,32465,33044,33157,39449,35976,28515,27584,28782,28705,29085,18867,21979,16825,25161,31499,32281,33920,33165,31689,31502,31659,28762,27456,24781,27362,34344,35047,27461,29265,28979,29767,28282,30894,29964,28693,29807,31759,33107,31548,29014,30960,33497,34571,NA,NA,NA,NA
Caribbean small states,"Out-of-school adolescents of lower secondary school age, both sexes (number)",NA,42757,40768,44319,44974,45630,70681,52790,46732,46365,45631,50894,43759,49220,48599,45653,49573,37231,38049,46071,45505,45786,45117,44684,49633,51799,53983,55196,54070,49270,51641,55025,54877,51941,41756,42310,44980,47233,47704,49557,49169,47134,47482,55250,49918,53145,54417,55110,50279,49984,NA,NA,NA,NA
Caribbean small states,"Out-of-school adolescents of lower secondary school age, female (number)",NA,20357,NA,NA,NA,21925,31451,24243,22212,21941,21515,22396,20540,21272,20627,20273,21035,17004,17250,20580,20240,20352,19913,19859,22250,23381,24557,25319,25012,23063,24031,26954,25495,23863,19375,19309,20108,20917,21070,22020,21274,19915,20277,23524,21427,22977,23570,24328,22597,22743,NA,NA,NA,NA
Caribbean small states,"Out-of-school adolescents of lower secondary school age, male (number)",NA,22400,NA,NA,NA,23706,39230,28547,24520,24424,24116,28498,23219,27948,27973,25379,28538,20227,20799,25490,25266,25434,25204,24825,27383,28419,29425,29876,29057,26207,27610,28071,29382,28078,22381,23000,24873,26316,26633,27537,27895,27219,27205,31726,28491,30168,30848,30782,27682,27241,NA,NA,NA,NA
Caribbean small states,"Out-of-school youth of upper secondary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84594,81668,83839,78025,75708,77043,74706,80660,77155,73027,70790,69845,69012,66222,71495,76471,77810,80013,69040,65525,69035,67232,NA,NA,NA,NA
Caribbean small states,"Out-of-school youth of upper secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40252,38870,39647,36343,35550,35458,33851,35517,34485,32553,31659,31428,30774,29303,31630,33989,34496,35415,30670,28921,30991,30255,NA,NA,NA,NA
Caribbean small states,"Out-of-school youth of upper secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44342,42798,44191,41682,40158,41584,40856,45143,42670,40474,39131,38417,38238,36919,39865,42482,43314,44598,38370,36605,38044,36977,NA,NA,NA,NA
Caribbean small states,"School age population, primary education, both sexes (number)",879569,947571,953753,954193,949607,941583,933159,919093,908761,901810,897179,893426,889408,883072,874295,863554,853076,843823,843698,851492,864750,878662,888226,892408,890658,883262,872609,860655,853219,849655,848942,849342,846763,843875,840374,835900,830350,821659,811487,799758,786422,771951,759322,748716,740026,733090,727416,722040,718928,717955,NA,NA,NA,NA
Caribbean small states,"School age population, primary education, female (number)",435726,469241,471833,471903,469698,465839,461641,454556,448962,444851,441992,439857,437736,434381,429851,424511,419500,415664,416256,420630,427523,434543,439255,441286,440373,436653,431290,425511,421667,419512,418709,418536,416408,414602,412803,410602,407759,403380,398348,392634,386260,379471,373472,368380,364158,360723,357828,355036,353309,352568,NA,NA,NA,NA
Caribbean small states,"School age population, primary education, male (number)",443843,478330,481920,482290,479909,475744,471518,464537,459799,456959,455187,453569,451672,448691,444444,439043,433576,428159,427442,430862,437227,444119,448971,451122,450285,446609,441319,435144,431552,430143,430233,430806,430355,429273,427571,425298,422591,418279,413139,407124,400162,392480,385850,380336,375868,372367,369588,367004,365619,365387,NA,NA,NA,NA
Caribbean small states,"School age population, lower secondary education, both sexes (number)",394191,401421,414555,425591,434942,443664,451727,451937,449350,445417,441260,437730,436215,434491,433281,433145,433620,426439,418506,410982,404558,400537,400053,404665,412769,422786,432496,433711,425275,420785,416652,414239,413064,413518,414883,416680,418561,418918,418266,416558,414412,412044,407828,402331,396116,389815,383929,377668,372735,368841,NA,NA,NA,NA
Caribbean small states,"School age population, lower secondary education, female (number)",196279,200002,206237,211421,215762,219800,223535,224060,222975,220912,218476,216215,215279,214382,213737,213534,213574,210165,206603,203313,200527,198824,198642,200887,204800,209616,214273,215137,211191,209085,207031,205746,204133,203504,203699,204508,205607,206149,205905,204945,203685,202316,200111,197405,194432,191468,188722,185716,183303,181370,NA,NA,NA,NA
Caribbean small states,"School age population, lower secondary education, male (number)",197912,201419,208318,214170,219180,223864,228192,227877,226375,224505,222784,221515,220936,220109,219544,219611,220046,216274,211903,207669,204031,201713,201411,203778,207969,213170,218223,218574,214084,211700,209621,208493,208931,210014,211184,212172,212954,212769,212361,211613,210727,209728,207717,204926,201684,198347,195207,191952,189432,187471,NA,NA,NA,NA
Caribbean small states,"School age population, upper secondary education, both sexes (number)",293222,295913,309030,324212,340366,356204,371036,379409,385277,388987,390052,388969,391767,393131,393700,394651,396576,392806,389665,386822,383110,378500,373083,367400,363379,363483,367959,371518,267253,270619,271056,269131,266633,265199,264771,274541,276070,276629,277925,279597,280624,280367,278581,277068,275292,272514,268777,264020,259586,255581,NA,NA,NA,NA
Caribbean small states,"School age population, upper secondary education, female (number)",148459,149261,155461,162694,170336,177649,184351,188550,191721,193869,194618,194060,194968,195183,195139,195407,196213,194295,192889,191742,190218,188221,185664,182892,180865,180815,182883,184840,133034,134874,135271,134435,132715,131342,130357,134472,134901,135628,136635,137711,138284,138086,137054,136139,135110,133681,131873,129616,127525,125638,NA,NA,NA,NA
Caribbean small states,"School age population, upper secondary education, male (number)",144763,146652,153569,161518,170030,178555,186685,190859,193556,195118,195434,194909,196799,197948,198561,199244,200363,198511,196776,195080,192892,190279,187419,184508,182514,182668,185076,186678,134219,135745,135785,134696,133918,133857,134414,140069,141169,141001,141290,141886,142340,142281,141527,140929,140182,138833,136904,134404,132061,129943,NA,NA,NA,NA
Caribbean small states,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"Unemployment, total (% of total labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"Unemployment, female (% of female labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,"Unemployment, male (% of male labor force)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,GDP per capita (current US$),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school children of primary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440466,249506,275849,276269,252510,253429,255998,251840,254805,243401,207230,189675,179771,160742,165109,155687,172337,192673,207711,232060,252049,262743,260320,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school children of primary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219444,124189,136548,136109,124991,124554,126967,124099,126200,119854,100308,93250,89522,79881,81353,77233,85490,94487,101543,112910,122143,123162,121925,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school children of primary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221022,125318,139301,140160,127520,128876,129030,127741,128606,123547,106922,96425,90249,80861,83756,78454,86847,98186,106167,119150,129906,139581,138395,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school adolescents of lower secondary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246191,254736,208111,199388,243462,230089,223300,183827,171216,181699,211940,252995,268262,245538,207904,168871,145266,125269,125488,138033,150598,163131,166963,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school adolescents of lower secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135624,137443,112311,105074,124577,114652,110198,91697,82246,86487,100922,123590,129584,118963,101195,83305,72322,62493,63246,68999,75849,86508,88505,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school adolescents of lower secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110567,117294,95800,94313,118885,115437,113102,92130,88969,95212,111018,129405,138678,126575,106710,85566,72944,62776,62242,69034,74749,76623,78457,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school youth of upper secondary school age, both sexes (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392786,1229433,1165051,955560,835056,836660,919115,832462,786089,701409,619103,581734,573363,576710,569860,493088,474576,418856,395193,366170,341421,335558,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school youth of upper secondary school age, female (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619815,544016,509363,423536,372318,378126,413661,386592,363829,322395,282426,262840,260289,265602,264603,231567,224985,195466,185668,170689,160469,157905,NA,NA,NA,NA
Central Europe and the Baltics,"Out-of-school youth of upper secondary school age, male (number)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772971,685416,655687,532023,462738,458533,505454,445869,422260,379014,336678,318894,313073,311108,305257,261520,249591,223390,209525,195481,180952,177653,NA,NA,NA,NA
Central Europe and the Baltics,"School age population, primary education, both sexes (number)",8208530,7880861,7565215,7325243,7205801,7207967,7298365,7396657,7505107,7603010,7689015,7776032,7904066,8049818,8206235,8363835,8503050,8600113,8631511,8585068,8471182,8352766,8202519,8098625,8023546,7969974,7893356,7886601,7704603,7462539,7186565,6888467,6607635,6333746,6085010,5841568,5616237,5469707,5285174,5138101,5031294,4961917,4901151,5100804,5147905,5242264,5365735,5483067,5555426,5560835,NA,NA,NA,NA
Central Europe and the Baltics,"School age population, primary education, female (number)",4014705,3854760,3699751,3581931,3523123,3523858,3567586,3614459,3666774,3714478,3756743,3799889,3861476,3931792,4007350,4083580,4150953,4198247,4213498,4190688,4134855,4076827,4002437,3951099,3914259,3888123,3850813,3847963,3759314,3640540,3505200,3359144,3221395,3087052,2965022,2845626,2734917,2663369,2573135,2501636,2449483,2414941,2385780,2482769,2505456,2551133,2611303,2669147,2704704,2707604,NA,NA,NA,NA
Central Europe and the Baltics,"School age population, primary education, male (number)",4193825,4026101,3865464,3743312,3682678,3684109,3730779,3782198,3838333,3888532,3932272,3976143,4042590,4118026,4198885,4280255,4352097,4401866,4418013,4394380,4336327,4275939,4200082,4147526,4109287,4081851,4042543,4038638,3945289,3821999,3681365,3529323,3386240,3246694,3119988,2995942,2881320,2806338,2712039,2636465,2581811,2546976,2515371,2618035,2642449,2691131,2754432,2813920,2850722,2853231,NA,NA,NA,NA
Central Europe and the Baltics,"School age population, lower secondary education, both sexes (number)",6776748,6008518,5894348,5733962,5526657,5307811,5126760,5045406,5633031,5147760,5269387,5379767,5466052,5543322,5613336,5679856,5754686,5849597,6494582,6081918,6089452,6101585,6026719,5905089,5750033,5593062,5476620,5434270,5544137,5538970,5517944,5452083,5941089,5739230,5512933,5276963,5052067,4789288,4604900,4420878,4242224,4080244,3935761,3824354,3741617,3679304,3632233,3620614,3649351,3723629,NA,NA,NA,NA
